source_kind,service_key,service_type,year,month,file_name,source_url,landing_page,dictionary_url
trip_record_parquet,yellow,Yellow Taxi,2024,1,yellow_tripdata_2024-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-01.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf
trip_record_parquet,yellow,Yellow Taxi,2024,2,yellow_tripdata_2024-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-02.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf
trip_record_parquet,yellow,Yellow Taxi,2024,3,yellow_tripdata_2024-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-03.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf
trip_record_parquet,yellow,Yellow Taxi,2024,4,yellow_tripdata_2024-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-04.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf
trip_record_parquet,yellow,Yellow Taxi,2024,5,yellow_tripdata_2024-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-05.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf
trip_record_parquet,yellow,Yellow Taxi,2024,6,yellow_tripdata_2024-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-06.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf
trip_record_parquet,green,Green Taxi,2024,1,green_tripdata_2024-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-01.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page
trip_record_parquet,green,Green Taxi,2024,2,green_tripdata_2024-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-02.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page
trip_record_parquet,green,Green Taxi,2024,3,green_tripdata_2024-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-03.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page
trip_record_parquet,green,Green Taxi,2024,4,green_tripdata_2024-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-04.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page
trip_record_parquet,green,Green Taxi,2024,5,green_tripdata_2024-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-05.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page
trip_record_parquet,green,Green Taxi,2024,6,green_tripdata_2024-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-06.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page
trip_record_parquet,fhv,For-Hire Vehicle (FHV),2024,1,fhv_tripdata_2024-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-01.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page
trip_record_parquet,fhv,For-Hire Vehicle (FHV),2024,2,fhv_tripdata_2024-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-02.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page
